PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
1630173,"Achiuwa, Precious",Precious Achiuwa,1,2020,2023,precious_achiuwa,precious_achiuwa,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
203500,"Adams, Steven",Steven Adams,1,2013,2023,steven_adams,steven_adams,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2023,bam_adebayo,bam_adebayo,1610612748,Miami,Heat,MIA,heat,heat,Y,00
1630534,"Agbaji, Ochai",Ochai Agbaji,1,2022,2023,ochai_agbaji,ochai_agbaji,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00
1630583,"Aldama, Santi",Santi Aldama,1,2021,2023,santi_aldama,santi_aldama,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01
1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,1,2019,2023,nickeil_alexander-walker,nickeil_alexander-walker,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
1628960,"Allen, Grayson",Grayson Allen,1,2018,2023,grayson_allen,grayson_allen,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2023,jarrett_allen,jarrett_allen,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
1630631,"Alvarado, Jose",Jose Alvarado,1,2021,2023,jose_alvarado,jose_alvarado,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00
203937,"Anderson, Kyle",Kyle Anderson,1,2014,2023,kyle_anderson,kyle_anderson,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2023,giannis_antetokounmpo,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2023,thanasis_antetokounmpo,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
1630175,"Anthony, Cole",Cole Anthony,1,2020,2023,cole_anthony,cole_anthony,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1628384,"Anunoby, OG",OG Anunoby,1,2017,2023,og_anunoby,og_anunoby,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2023,ryan_arcidiacono,ryan_arcidiacono,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01
1630166,"Avdija, Deni",Deni Avdija,1,2020,2023,deni_avdija,deni_avdija,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
1629028,"Ayton, Deandre",Deandre Ayton,1,2018,2023,deandre_ayton,deandre_ayton,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00
1628962,"Azubuike, Udoka",Udoka Azubuike,1,2020,2023,udoka_azubuike,udoka_azubuike,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
1628963,"Bagley III, Marvin",Marvin Bagley III,1,2018,2023,marvin_bagley_iii,marvin_bagley_iii,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00
1641735,"Bailey, Amari",Amari Bailey,1,2023,2023,amari_bailey,amari_bailey,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
1631116,"Baldwin Jr., Patrick",Patrick Baldwin Jr.,1,2022,2023,patrick_baldwin_jr,patrick_baldwin_jr,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,01
1630163,"Ball, LaMelo",LaMelo Ball,1,2020,2023,lamelo_ball,lamelo_ball,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00
1628366,"Ball, Lonzo",Lonzo Ball,1,2017,2023,lonzo_ball,lonzo_ball,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00
1628964,"Bamba, Mo",Mo Bamba,1,2018,2023,mohamed_bamba,mo_bamba,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
1631094,"Banchero, Paolo",Paolo Banchero,1,2022,2023,paolo_banchero,paolo_banchero,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1630217,"Bane, Desmond",Desmond Bane,1,2020,2023,desmond_bane,desmond_bane,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00
1630625,"Banton, Dalano",Dalano Banton,1,2021,2023,dalano_banton,dalano_banton,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
1631230,"Barlow, Dominick",Dominick Barlow,1,2022,2023,dominick_barlow,dominick_barlow,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
203084,"Barnes, Harrison",Harrison Barnes,1,2012,2023,harrison_barnes,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
1630567,"Barnes, Scottie",Scottie Barnes,1,2021,2023,scottie_barnes,scottie_barnes,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00
1629628,"Barrett, RJ",RJ Barrett,1,2019,2023,rj_barrett,rj_barrett,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00
1629646,"Bassey, Charles",Charles Bassey,1,2021,2023,charles_bassey,charles_bassey,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
1641734,"Bates, Emoni",Emoni Bates,1,2023,2023,emoni_bates,emoni_bates,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00
1628966,"Bates-Diop, Keita",Keita Bates-Diop,1,2018,2023,keita_bates-diop,keita_bates-diop,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01
201587,"Batum, Nicolas",Nicolas Batum,1,2008,2023,nicolas_batum,nicolas_batum,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00
203078,"Beal, Bradley",Bradley Beal,1,2012,2023,bradley_beal,bradley_beal,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00
1627736,"Beasley, Malik",Malik Beasley,1,2016,2023,malik_beasley,malik_beasley,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
1630699,"Beauchamp, MarJon",MarJon Beauchamp,1,2022,2023,marjon_beauchamp,marjon_beauchamp,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
1641777,"Bediako, Charles",Charles Bediako,1,2023,2023,tmp_charles_bediako,charles_bediako,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,00
202722,"Bertans, Davis",Davis Bertans,1,2016,2023,davis_bertans,davis_bertans,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01
201976,"Beverley, Patrick",Patrick Beverley,1,2012,2023,patrick_beverley,patrick_beverley,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
1630180,"Bey, Saddiq",Saddiq Bey,1,2020,2023,saddiq_bey,saddiq_bey,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00
1629048,"Bitadze, Goga",Goga Bitadze,1,2019,2023,goga_bitadze,goga_bitadze,1610612753,Orlando,Magic,ORL,magic,magic,Y,01
