Player (388),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Karl-Anthony Towns,C,MIN,Injury Management/Calf,53,21777840
Khris Middleton,SF,MIL,Knee/Injury Management/Wrist,49,20937024
Lonzo Ball,PG,CHI,Knee,82,19422537
Kevin Durant,SF,PHX/BKN,Injury Management/Ankle/Knee,33,17780616
Stephen Curry,PG,GSW,Leg/Hip/Shoulder/Ankle/Elbow,26,17128368
Ben Simmons,PG,BKN,Back/Knee/Calf,40,15483328
LeBron James,PF,LAL,Foot/Ankle/Illness/Adductor,27,14569371
Jonathan Isaac,PF,ORL,Adductor/Injury Management/Knee/Hamstring,70,13600000
Brandon Ingram,SF,NOP,Ankle/Toe/Concussion,37,13460600
Bradley Beal,SG,WAS,Knee/Foot/Hamstring/Quad,27,13431474
Paul George,SG,LAC,Knee/Hamstring/Illness,25,12943130
Gordon Hayward,SF,CHA,Thumb/Hamstring/Shoulder,32,11580615
Kawhi Leonard,SF,LAC,Injury Management/Illness/Ankle,28,11477870
Anthony Davis,C,LAL,Foot/Illness/Back,26,10695720
Damian Lillard,PG,POR,Calf/Injury Management,23,10501030
Devin Booker,SG,PHX,Injury Management/Groin/Hamstring,27,10305585
Chet Holmgren,C,OKC,Foot,82,9667759
Giannis Antetokounmpo,PF,MIL,Knee/Illness/Quad,19,9524190
Cade Cunningham,PG,DET,Shin,70,9036552
Kyle Lowry,PG,MIA,Knee,24,8955925
James Harden,SG,PHI,Injury Management/Achilles/Foot,24,8724130
Andrew Wiggins,SF,GSW,Illness/Foot/Adductor,20,8694000
Steven Adams,C,MEM,Knee/Illness/Ankle/Hip,40,8551324
Zion Williamson,PF,NOP,Hamstring/Ankle/Hip,50,8245316
Jimmy Butler,SF,MIA,Hand/Neck/Back/Ankle/Illness/Injury Management/Knee/Hip,16,7141134
Chris Paul,PG,PHX,Hip/Heel,21,6855156
Danilo Gallinari,PF,BOS,Knee ACL,82,6479064
Marvin Bagley III,PF,DET,Concussion/Ankle/Hand/Illness/Knee,40,6393671
Cody Martin,SF,CHA,Knee/Quad,75,6356340
Collin Sexton,PG,UTA,Hamstring/Injury Management/Leg,34,6353476
Danny Green,SF,CLE/MEM,Illness/Injury Management/Knee ACL,53,6160890
Luka Doncic,PG,DAL,Thigh/Heel/Ankle/Quad,14,5969544
Gary Payton II,PG,GSW/POR,Abdominal/Illness/Hip/Ankle,59,5962625
Michael Porter Jr.,SF,DEN,Injury Management/Heel/Back,16,5862945
Klay Thompson,SG,GSW,Back/Injury Management/Knee/Achilles,12,5833350
Duncan Robinson,SF,MIA,Finger/Ankle/Hand,29,5828280
Davis Bertans,PF,DAL,Calf/Illness/Knee,27,5793102
Myles Turner,C,IND,Back/Hamstring/Injury Management/Ankle,19,5678325
