,Player,Pos,Team,Injury,Games,CashEarnedWhileInjured/Resting
0,A.J. Griffin,SF,ATL,Illness,1,21339
1,Aaron Gordon,PF,DEN,Heel,4,733314
2,Aaron Nesmith,SF,IND,Wrist,2,161905
3,Al Horford,C,BOS,Injury Management/Rest,11,5747157471
4,Alec Burks,SG,DET,Forearm,6,663135
5,Alex Caruso,SG,CHI,Toe,3,271840
6,Alex Len,C,SAC,Ankle,10,440880
7,Amen Thompson,PG,HOU,Ankle,13,1771980
8,Andre Jackson Jr.,SG,MIL,Back,1,19302
9,Andrew Nembhard,PG,IND,Back,3,61260
10,Andrew Wiggins,SF,GSW,Finger,2,838980
11,Anfernee Simons,SG,POR,Thumb,18,5541880
12,Anthony Davis,C,LAL,Hip,1,466668
13,Anthony Edwards,SG,MIN,Hip,2,466716
14,Anthony Gill,PF,WAS,Hamstring,1,45912
15,Ayo Dosunmu,PG,CHI,Illness,2,111750
16,Bam Adebayo,C,MIA,Hip,5,2622998
17,Ben Simmons,PG,BKN,Back/Hip,14,7186674
18,Bilal Coulibaly,SF,WAS,Knee,1,38013
19,Bojan Bogdanovic,SF,DET,Calf,19,4367834
20,Bradley Beal,SG,PHX,Back,18,10476570
21,Brandon Boston Jr,SG,LAC,Quad,20,474840
22,Brandon Clarke,PF,MEM,Achilles,20,3232755
23,Brandon Ingram,SF,NOP,Knee,3,972225
24,Brandon Miller,SF,CHA,Ankle,2,312655
25,Bryce McGowens,SG,CHA,Ankle,1,29652
26,C.J. McCollum,SG,NOP,Lung/Rest,121,4732503205761
27,Caleb Martin,SF,MIA,Knee,10,781940
28,Cam Reddish,SF,LAL,Groin,4,111987
29,Cameron Johnson,SF,BKN,Calf,7,1967770
30,Cameron Thomas,SG,BKN,Ankle,9,257480
31,Caris LeVert,SG,CLE,Knee/Hamstring,5,972587
32,Chris Duarte,SF,SAC,Knee,1,118515
33,Chris Livingston,SF,MIL,Ankle,5,167284
34,Chris Paul,PG,GSW,Leg,2,1062066
