Player (41),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Andrew Wiggins,SF,GSW,Personal,25,10432800
Jae Crowder,SF,PHX,Personal,56,6672192
Russell Westbrook,PG,UTA,Personal,1,1622880
Michael Porter Jr.,SF,DEN,Personal,3,1065990
Ja Morant,PG,MEM,Personal,8,975128
Nerlens Noel,C,DET,Personal,5,955854
Josh Richardson,SG,NOP/SAS,Personal,4,700920
Fred VanVleet,PG,TOR,Personal,3,610630
Serge Ibaka,C,MIL,Personal,15,534400
Jayson Tatum,PF,BOS,Personal,1,523308
De'Aaron Fox,PG,SAC,Personal,2,523308
Evan Fournier,SG,NYK,Personal,2,517240
Kawhi Leonard,SF,LAC,Personal,1,488420
Marcus Morris Sr.,SF,LAC,Personal,2,470460
Malcolm Brogdon,PG,BOS,Personal,2,389655
Jrue Holiday,PG,MIL,Personal,1,374068
Kyle Lowry,PG,MIA,Personal,1,325670
Royce O'Neale,SF,BKN,Personal,2,317244
Jaylen Brown,SF,BOS,Personal,1,306548
Udonis Haslem,PF,MIA,Personal,8,300600
Robert Covington,PF,LAC,Personal,2,212202
Seth Curry,SG,BKN,Personal,2,195324
RJ Hampton,PG,ORL,Personal,3,194138
Taurean Prince,PF,MIN,Personal,2,163220
Garrett Temple,SG,NOP,Personal,2,118516
Nicolas Claxton,C,BKN,Personal,1,97702
Edmond Sumner,SG,BKN,Personal,4,90488
Cory Joseph,PG,DET,Personal,1,88887
Markieff Morris,PF,BKN,Personal,3,83500
Jaden Ivey,SG,DET,Personal,1,83358
Onyeka Okongwu,C,ATL,Personal,1,73508
PJ Washington,PF,CHA,Personal,1,66764
Tony Bradley,C,CHI,Personal,2,58515
Thanasis Antetokounmpo,SF,MIL,Personal,2,53985
Andre Drummond,C,CHI,Personal,1,36782
Dennis Schröder,PG,LAL,Personal,1,30364
Furkan Korkmaz,SG,PHI,Personal,1,28736
Luke Kornet,C,BOS,Personal,1,24520
Davon Reed,SG,DEN,Personal,1,21864
Mfiondu Kabengele,PF,BOS,Personal,1,0
Duane Washington Jr.,PG,PHX,Personal,1,0
,,,,177,29829688
