Player (39),Pos.,Team,Injury,Games,Cash EarnedWhile Resting
Luka Doncic,PG,DAL,Rest,2,426396
Mike Conley,PG,UTA,Rest,3,391035
Devin Booker,SG,PHX,Rest,2,388890
Jrue Holiday,PG,MIL,Rest,2,374068
Deandre Ayton,C,PHX,Rest,2,355330
Donovan Mitchell,SG,CLE,Rest,2,348872
Chris Paul,PG,PHX,Rest,2,326436
Kyle Lowry,PG,MIA,Rest,2,325670
Paul George,SG,LAC,Rest,1,244210
Kawhi Leonard,SF,LAC,Rest,1,244210
Damian Lillard,PG,POR,Rest,1,244210
Brook Lopez,C,MIL,Rest,3,239775
Klay Thompson,SG,GSW,Rest,1,233334
Eric Gordon,SG,HOU,Rest,2,224924
Jimmy Butler,SF,MIA,Rest,1,216398
Zach LaVine,SG,CHI,Rest,1,213198
Spencer Dinwiddie,PG,BKN,Rest,2,206896
Pascal Siakam,PF,TOR,Rest,1,203728
C.J. McCollum,SG,NOP,Rest,1,191571
DeMar DeRozan,SF,CHI,Rest,1,156897
Al Horford,C,BOS,Rest,1,152299
Jerami Grant,PF,POR,Rest,1,120431
Mitchell Robinson,C,NYK,Rest,1,97962
Luguentz Dort,SG,OKC,Rest,1,87803
Christian Wood,C,DAL,Rest,1,82284
Kelly Olynyk,PF,UTA,Rest,1,73591
Reggie Jackson,PG,LAC,Rest,1,64456
Reggie Bullock,SF,DAL,Rest,1,57545
Nicolas Claxton,C,BKN,Rest,1,48851
Evan Mobley,PF,CLE,Rest,1,48728
Zach Collins,C,SAS,Rest,1,42241
John Wall,PG,HOU,Rest,1,37236
Josh Giddey,SG,OKC,Rest,1,36134
Josh Green,SG,DAL,Rest,2,35614
JaVale McGee,C,PHX,Rest,1,31386
Jalen Williams,SF,OKC,Rest,1,24951
Goran Dragic,PG,CHI,Rest,1,16700
Jaylin Williams,C,OKC,Rest,1,11494
Patrick Beverley,PG,CHI,Rest,1,4607
,,,,53,6630361
